area_type,availability,bath,balcony,price,site_location,bhk,new_total_sqft,price_per_sqft
Built-up  Area,18-May,2.0,1.0,48.0,Alandi Road,2,1100.0,4363.636363636364
Super built-up  Area,Ready To Move,3.0,2.0,90.0,Alandi Road,3,1850.0,4864.864864864865
Built-up  Area,Ready To Move,2.0,2.0,74.0,Alandi Road,3,1475.0,5016.949152542373
Super built-up  Area,Ready To Move,2.0,1.0,65.0,Alandi Road,3,1265.0,5138.339920948617
Super built-up  Area,Ready To Move,2.0,2.0,98.0,Alandi Road,2,1300.0,7538.461538461538
Super built-up  Area,Ready To Move,2.0,1.0,35.0,Alandi Road,2,937.0,3735.325506937033
Super built-up  Area,Ready To Move,2.0,2.0,58.0,Alandi Road,2,1000.0,5800.0
Super built-up  Area,Ready To Move,2.0,0.0,43.0,Alandi Road,2,700.0,6142.857142857143
Super built-up  Area,Ready To Move,2.0,2.0,46.6,Alandi Road,2,1265.0,3683.794466403162
Super built-up  Area,Ready To Move,2.0,2.0,32.25,Alandi Road,2,1008.0,3199.404761904762
Super built-up  Area,Ready To Move,4.0,2.0,155.0,Alandi Road,3,2072.0,7480.694980694981
Plot  Area,Ready To Move,4.0,3.0,550.0,Alandi Road,4,7000.0,7857.142857142857
Built-up  Area,Ready To Move,2.0,0.0,52.0,Alandi Road,2,1102.0,4718.693284936479
Super built-up  Area,Ready To Move,2.0,1.0,46.5,Alandi Road,2,1020.0,4558.823529411765
Super built-up  Area,Ready To Move,3.0,2.0,145.0,Alandi Road,3,1855.0,7816.711590296496
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Alandi Road,2,1181.0,6350.550381033023
Super built-up  Area,Ready To Move,2.0,1.0,45.2,Alandi Road,2,1130.0,4000.0
Super built-up  Area,Ready To Move,2.0,2.0,55.0,Alandi Road,2,1065.0,5164.319248826291
Super built-up  Area,Ready To Move,3.0,3.0,85.0,Alandi Road,3,1540.0,5519.480519480519
Super built-up  Area,Ready To Move,2.0,1.0,67.4,Alandi Road,2,1246.0,5409.309791332264
Super built-up  Area,18-Jul,1.0,1.0,30.0,Alandi Road,1,500.0,6000.0
Built-up  Area,Ready To Move,2.0,2.0,45.0,Alandi Road,2,1080.0,4166.666666666667
Super built-up  Area,Ready To Move,3.0,2.0,128.0,Alandi Road,3,1756.0,7289.293849658315
Super built-up  Area,Ready To Move,2.0,1.0,32.0,Alandi Road,2,914.0,3501.09409190372
Super built-up  Area,Ready To Move,2.0,0.0,36.8,Alandi Road,2,1150.0,3199.9999999999995
Super built-up  Area,Ready To Move,4.0,2.0,145.0,Alandi Road,3,2144.6,6761.167583698592
Super built-up  Area,18-Aug,3.0,2.0,135.0,Alandi Road,3,1856.0,7273.706896551724
Built-up  Area,Ready To Move,4.0,1.0,125.0,Alandi Road,3,1800.0,6944.444444444444
Super built-up  Area,20-Dec,2.0,1.0,103.0,Alandi Road,2,1338.0,7698.056801195815
Plot  Area,Ready To Move,2.0,1.0,160.0,Alandi Road,2,2480.0,6451.612903225807
Super built-up  Area,Ready To Move,5.0,1.0,279.0,Alandi Road,4,3596.0,7758.620689655172
Plot  Area,Ready To Move,5.0,2.0,200.0,Alandi Road,5,2400.0,8333.333333333334
Super built-up  Area,Ready To Move,2.0,2.0,69.0,Alandi Road,2,1565.0,4408.945686900958
Super built-up  Area,Ready To Move,2.0,1.0,51.15,Alandi Road,2,1185.0,4316.455696202532
Super built-up  Area,Ready To Move,2.0,1.0,33.82,Alandi Road,2,1091.0,3099.908340971586
Plot  Area,Ready To Move,4.0,1.0,125.0,Alandi Road,4,1200.0,10416.666666666666
Super built-up  Area,Ready To Move,2.0,2.0,68.0,Alandi Road,2,1135.0,5991.1894273127755
Super built-up  Area,18-Dec,5.0,3.0,189.0,Alandi Road,4,2658.0,7110.609480812641
Super built-up  Area,Ready To Move,4.0,2.0,301.0,Alandi Road,4,3000.0,10033.333333333334
Super built-up  Area,Ready To Move,4.0,2.0,150.0,Alandi Road,3,1830.0,8196.72131147541
Built-up  Area,18-Jul,3.0,3.0,115.0,Alandi Road,3,1685.0,6824.925816023739
Super built-up  Area,Ready To Move,2.0,1.0,40.0,Alandi Road,2,890.0,4494.38202247191
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Alandi Road,3,1260.0,5952.380952380952
Super built-up  Area,18-Dec,1.0,1.0,19.9,Alandi Road,2,674.0,2952.522255192878
Super built-up  Area,Ready To Move,2.0,1.0,51.0,Alandi Road,2,1049.0,4861.773117254528
Super built-up  Area,Ready To Move,2.0,1.0,35.0,Alandi Road,2,945.0,3703.703703703704
Super built-up  Area,Ready To Move,3.0,2.0,90.0,Alandi Road,3,1540.0,5844.1558441558445
Super built-up  Area,Ready To Move,2.0,1.0,51.0,Alandi Road,2,1194.0,4271.356783919598
Built-up  Area,Ready To Move,2.0,1.0,45.0,Alandi Road,2,1189.0,3784.6930193439866
Super built-up  Area,17-Oct,2.0,1.0,53.56,Alandi Road,2,1339.0,4000.0
Super built-up  Area,Ready To Move,2.0,3.0,68.0,Alandi Road,2,1350.0,5037.037037037037
Super built-up  Area,18-Dec,2.0,2.0,88.0,Alandi Road,2,1244.0,7073.954983922829
Super built-up  Area,Ready To Move,3.0,2.0,135.0,Alandi Road,3,1719.0,7853.4031413612565
Super built-up  Area,19-Dec,1.0,1.0,17.19,Alandi Road,1,416.0,4132.211538461539
Super built-up  Area,Ready To Move,2.0,2.0,54.0,Alandi Road,2,1041.0,5187.319884726225
Super built-up  Area,Ready To Move,1.0,1.0,65.0,Alandi Road,1,705.0,9219.85815602837
Super built-up  Area,Ready To Move,2.0,2.0,44.0,Alandi Road,2,1027.0,4284.323271665044
Super built-up  Area,Ready To Move,3.0,2.0,115.0,Alandi Road,3,1801.0,6385.341476957246
Super built-up  Area,Ready To Move,2.0,2.0,37.0,Alandi Road,2,1205.0,3070.539419087137
Super built-up  Area,Ready To Move,2.0,1.0,39.5,Alandi Road,2,1105.0,3574.660633484163
Super built-up  Area,18-Dec,4.0,2.0,262.0,Alandi Road,4,3504.0,7477.16894977169
Super built-up  Area,Ready To Move,2.0,1.0,40.0,Alandi Road,2,1089.0,3673.094582185491
Super built-up  Area,Ready To Move,2.0,1.0,49.82,Alandi Road,3,925.0,5385.945945945946
Super built-up  Area,Ready To Move,3.0,1.0,90.0,Alandi Road,3,1255.0,7171.314741035857
Super built-up  Area,Ready To Move,2.0,2.0,45.0,Alandi Road,2,1200.0,3750.0
Plot  Area,Ready To Move,2.0,0.0,75.0,Alandi Road,2,1200.0,6250.0
Super built-up  Area,Ready To Move,2.0,1.0,40.0,Ambegaon Budruk,2,950.0,4210.526315789473
Plot  Area,Ready To Move,2.0,0.0,65.0,Ambegaon Budruk,2,1200.0,5416.666666666667
Super built-up  Area,18-Dec,2.0,2.0,78.34,Ambegaon Budruk,3,1180.0,6638.983050847458
Super built-up  Area,Ready To Move,2.0,1.0,67.0,Ambegaon Budruk,2,1215.0,5514.40329218107
Super built-up  Area,Ready To Move,2.0,1.0,41.1,Ambegaon Budruk,2,884.0,4649.321266968326
Super built-up  Area,18-Mar,2.0,1.0,50.0,Ambegaon Budruk,2,1036.0,4826.254826254826
Plot  Area,Ready To Move,5.0,3.0,400.0,Ambegaon Budruk,4,6000.0,6666.666666666667
Plot  Area,Ready To Move,2.0,1.0,60.0,Ambegaon Budruk,2,1240.0,4838.709677419355
Super built-up  Area,Ready To Move,3.0,1.0,149.0,Ambegaon Budruk,3,2060.0,7233.0097087378645
Super built-up  Area,18-Mar,4.0,3.0,127.0,Ambegaon Budruk,3,1890.0,6719.576719576719
Super built-up  Area,Ready To Move,2.0,1.0,86.98,Ambegaon Budruk,2,1330.0,6539.849624060151
Super built-up  Area,Ready To Move,2.0,2.0,50.0,Ambegaon Budruk,2,1115.0,4484.304932735426
Super built-up  Area,Ready To Move,2.0,1.0,45.0,Ambegaon Budruk,2,1045.0,4306.2200956937795
Super built-up  Area,Ready To Move,2.0,1.0,54.0,Ambegaon Budruk,2,1070.0,5046.728971962617
Super built-up  Area,18-Aug,2.0,1.0,100.0,Ambegaon Budruk,3,1340.0,7462.686567164179
Built-up  Area,18-Apr,2.0,1.0,143.0,Ambegaon Budruk,3,1500.0,9533.333333333334
Super built-up  Area,Ready To Move,2.0,1.0,43.55,Ambegaon Budruk,2,1089.0,3999.0817263544536
Super built-up  Area,Ready To Move,4.0,3.0,230.0,Ambegaon Budruk,4,3250.0,7076.923076923077
Super built-up  Area,Ready To Move,2.0,2.0,25.0,Ambegaon Budruk,2,780.0,3205.128205128205
Super built-up  Area,Ready To Move,2.0,3.0,50.0,Ambegaon Budruk,2,1065.0,4694.835680751174
Super built-up  Area,Ready To Move,2.0,1.0,53.0,Ambegaon Budruk,1,1351.0,3923.019985196151
Super built-up  Area,Ready To Move,2.0,1.0,39.5,Ambegaon Budruk,2,1146.0,3446.7713787085513
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Ambegaon Budruk,2,1000.0,6000.0
Super built-up  Area,Ready To Move,3.0,2.0,86.91,Ambegaon Budruk,3,1665.0,5219.81981981982
Super built-up  Area,Ready To Move,2.0,2.0,48.42,Ambegaon Budruk,2,1274.0,3800.6279434850862
Super built-up  Area,22-May,3.0,1.0,160.0,Ambegaon Budruk,3,1819.18,8795.17145087347
Super built-up  Area,Ready To Move,2.0,1.0,80.0,Ambegaon Budruk,3,1444.0,5540.16620498615
Super built-up  Area,Ready To Move,2.0,1.0,78.0,Ambegaon Budruk,2,1263.0,6175.771971496437
Super built-up  Area,Ready To Move,3.0,2.0,112.0,Ambegaon Budruk,3,1690.0,6627.218934911242
Super built-up  Area,Ready To Move,3.0,3.0,95.0,Ambegaon Budruk,3,1500.0,6333.333333333333
Super built-up  Area,19-Dec,1.0,0.0,34.385,Ambegaon Budruk,1,709.0,4849.788434414669
Built-up  Area,Ready To Move,2.0,1.0,68.0,Ambegaon Budruk,2,1000.0,6800.0
Super built-up  Area,Ready To Move,2.0,1.0,103.0,Ambegaon Budruk,2,1360.0,7573.529411764706
Built-up  Area,Ready To Move,2.0,2.0,52.0,Ambegaon Budruk,2,1140.0,4561.403508771929
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Ambegaon Budruk,2,1174.0,6388.415672913117
Super built-up  Area,Ready To Move,2.0,2.0,30.0,Ambegaon Budruk,2,1075.0,2790.6976744186045
Super built-up  Area,Ready To Move,2.0,2.0,65.0,Ambegaon Budruk,2,1390.0,4676.258992805755
Super built-up  Area,Ready To Move,2.0,1.0,35.0,Ambegaon Budruk,2,1010.0,3465.3465346534654
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Ambegaon Budruk,2,1250.0,4800.0
Plot  Area,18-Oct,5.0,2.0,190.0,Ambegaon Budruk,4,2400.0,7916.666666666667
Super built-up  Area,Ready To Move,2.0,2.0,52.5,Ambegaon Budruk,2,1200.0,4375.0
Super built-up  Area,Ready To Move,2.0,2.0,34.0,Ambegaon Budruk,2,919.0,3699.6735582154515
Super built-up  Area,Ready To Move,2.0,2.0,65.0,Ambegaon Budruk,2,1242.0,5233.494363929147
Super built-up  Area,Ready To Move,2.0,1.0,36.0,Ambegaon Budruk,2,913.0,3943.0449069003284
Super built-up  Area,Ready To Move,2.0,1.0,45.0,Ambegaon Budruk,2,883.0,5096.262740656852
Super built-up  Area,18-Mar,3.0,1.0,146.0,Ambegaon Budruk,3,1724.0,8468.677494199535
Super built-up  Area,Ready To Move,2.0,2.0,71.5,Ambegaon Budruk,3,1444.0,4951.523545706371
Built-up  Area,Ready To Move,2.0,0.0,75.0,Ambegaon Budruk,2,1395.0,5376.344086021505
Super built-up  Area,Ready To Move,1.0,0.0,47.0,Ambegaon Budruk,1,600.0,7833.333333333333
Built-up  Area,18-Apr,2.0,0.0,58.0,Ambegaon Budruk,2,1258.0,4610.492845786964
Super built-up  Area,Ready To Move,2.0,1.0,36.5,Ambegaon Budruk,2,750.0,4866.666666666667
Built-up  Area,18-Dec,3.0,2.0,147.0,Ambegaon Budruk,3,2600.0,5653.846153846154
Plot  Area,Ready To Move,2.0,0.0,55.0,Ambegaon Budruk,2,900.0,6111.111111111111
Super built-up  Area,Ready To Move,1.0,1.0,20.0,Ambegaon Budruk,1,500.0,4000.0
Super built-up  Area,Ready To Move,2.0,1.0,49.0,Ambegaon Budruk,2,1089.0,4499.540863177227
Built-up  Area,Ready To Move,2.0,2.0,44.5,Ambegaon Budruk,2,1086.0,4097.605893186003
Super built-up  Area,19-Jun,3.0,2.0,103.0,Ambegaon Budruk,3,1512.0,6812.169312169312
Super built-up  Area,21-May,3.0,1.0,72.99,Ambegaon Budruk,3,1500.0,4865.999999999999
Plot  Area,Ready To Move,2.0,0.0,180.0,Ambegaon Budruk,3,2000.0,9000.0
Super built-up  Area,Ready To Move,2.0,1.0,68.0,Ambegaon Budruk,2,1215.0,5596.707818930041
Built-up  Area,Ready To Move,2.0,1.0,125.0,Ambegaon Budruk,3,2400.0,5208.333333333333
Super built-up  Area,Ready To Move,3.0,3.0,165.0,Ambegaon Budruk,3,2210.0,7466.06334841629
Super built-up  Area,Ready To Move,3.0,2.0,93.0,Ambegaon Budruk,3,1800.0,5166.666666666667
Super built-up  Area,Ready To Move,2.0,1.0,90.0,Ambegaon Budruk,3,1600.0,5625.0
Super built-up  Area,Ready To Move,4.0,2.0,185.0,Ambegaon Budruk,3,2275.0,8131.868131868132
Built-up  Area,Ready To Move,2.0,1.0,72.0,Ambegaon Budruk,2,900.0,8000.0
Super built-up  Area,18-May,2.0,1.0,97.0,Ambegaon Budruk,2,1398.0,6938.483547925608
Super built-up  Area,Ready To Move,4.0,3.0,205.0,Ambegaon Budruk,4,3270.0,6269.113149847095
Super built-up  Area,Ready To Move,2.0,3.0,85.0,Ambegaon Budruk,2,1340.0,6343.2835820895525
Built-up  Area,Ready To Move,3.0,2.0,70.0,Ambegaon Budruk,3,1350.0,5185.185185185185
Super built-up  Area,Ready To Move,4.0,0.0,175.0,Ambegaon Budruk,3,2650.0,6603.773584905661
Carpet  Area,18-Jul,1.0,1.0,33.0,Ambegaon Budruk,1,500.0,6600.0
Super built-up  Area,19-Nov,2.0,1.0,45.91,Ambegaon Budruk,2,984.0,4665.650406504065
Super built-up  Area,Ready To Move,3.0,2.0,106.0,Ambegaon Budruk,3,1725.0,6144.927536231884
Super built-up  Area,Ready To Move,2.0,1.0,39.0,Ambegaon Budruk,2,1035.0,3768.1159420289855
Super built-up  Area,Ready To Move,2.0,1.0,41.51,Ambegaon Budruk,2,1107.83,3746.964787016059
Super built-up  Area,Ready To Move,2.0,2.0,62.0,Ambegaon Budruk,2,1220.0,5081.9672131147545
Built-up  Area,Ready To Move,2.0,2.0,45.0,Ambegaon Budruk,2,1200.0,3750.0
Super built-up  Area,Ready To Move,2.0,3.0,60.0,Ambegaon Budruk,2,1310.0,4580.152671755725
Super built-up  Area,Ready To Move,2.0,3.0,55.0,Ambegaon Budruk,2,1315.0,4182.509505703422
Super built-up  Area,Ready To Move,2.0,2.0,73.0,Ambegaon Budruk,3,1450.0,5034.482758620689
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Ambegaon Budruk,2,1220.0,4508.196721311476
Plot  Area,Ready To Move,1.0,0.0,50.0,Ambegaon Budruk,2,1200.0,4166.666666666667
Super built-up  Area,Ready To Move,2.0,1.0,45.99,Ambegaon Budruk,2,1150.0,3999.1304347826085
Super built-up  Area,19-Mar,2.0,1.0,52.0,Ambegaon Budruk,2,1165.0,4463.519313304721
Super built-up  Area,Ready To Move,2.0,2.0,49.0,Ambegaon Budruk,2,1160.0,4224.137931034483
Super built-up  Area,Ready To Move,2.0,1.0,35.0,Ambegaon Budruk,2,925.0,3783.7837837837837
Super built-up  Area,18-May,3.0,1.0,147.0,Ambegaon Budruk,3,1516.0,9696.569920844327
Super built-up  Area,Ready To Move,3.0,2.0,120.0,Ambegaon Budruk,3,1790.0,6703.91061452514
Super built-up  Area,18-Nov,2.0,1.0,58.0,Ambegaon Budruk,2,1112.0,5215.827338129497
Built-up  Area,Ready To Move,3.0,0.0,85.0,Ambegaon Budruk,3,1490.0,5704.697986577181
Built-up  Area,Ready To Move,2.0,1.0,65.0,Anandnagar,2,1200.0,5416.666666666667
Super built-up  Area,Ready To Move,3.0,1.0,73.0,Anandnagar,3,1460.0,5000.0
Super built-up  Area,Ready To Move,1.0,1.0,115.0,Anandnagar,2,1300.0,8846.153846153846
Built-up  Area,Ready To Move,3.0,3.0,85.1,Anandnagar,3,1662.0,5120.336943441636
Super built-up  Area,Ready To Move,3.0,1.0,78.0,Anandnagar,3,1535.0,5081.4332247557
Super built-up  Area,Ready To Move,3.0,1.0,96.0,Anandnagar,3,1730.0,5549.132947976878
Super built-up  Area,Ready To Move,2.0,1.0,73.0,Anandnagar,3,1400.0,5214.285714285715
Super built-up  Area,Ready To Move,3.0,2.0,132.0,Anandnagar,3,1757.0,7512.805919180421
Plot  Area,Ready To Move,2.0,1.0,125.0,Anandnagar,2,1200.0,10416.666666666666
Plot  Area,Ready To Move,4.0,1.0,83.0,Anandnagar,4,1200.0,6916.666666666667
Built-up  Area,Ready To Move,4.0,1.0,230.0,Anandnagar,4,3555.0,6469.760900140647
Plot  Area,Ready To Move,3.0,3.0,132.0,Anandnagar,4,1450.0,9103.448275862069
Super built-up  Area,Ready To Move,2.0,1.0,85.0,Anandnagar,2,1290.0,6589.147286821705
Super built-up  Area,Ready To Move,3.0,3.0,90.0,Anandnagar,3,1800.0,5000.0
Super built-up  Area,Ready To Move,4.0,2.0,130.0,Anandnagar,3,2475.0,5252.525252525253
Super built-up  Area,Ready To Move,3.0,2.0,105.0,Anandnagar,3,1776.42,5910.764346269463
Super built-up  Area,Ready To Move,2.0,1.0,65.0,Anandnagar,3,1000.0,6500.0
Super built-up  Area,18-Apr,2.0,1.0,65.0,Anandnagar,2,1128.0,5762.41134751773
Super built-up  Area,Ready To Move,2.0,2.0,103.0,Anandnagar,2,1418.0,7263.7517630465445
Super built-up  Area,Ready To Move,2.0,1.0,77.0,Anandnagar,2,1340.0,5746.268656716418
Built-up  Area,Ready To Move,2.0,3.0,73.0,Anandnagar,3,1419.0,5144.46793516561
Super built-up  Area,Ready To Move,3.0,1.0,109.0,Anandnagar,3,1891.0,5764.1459545214175
Plot  Area,Ready To Move,4.0,2.0,250.0,Anandnagar,4,2592.0,9645.061728395061
Super built-up  Area,Ready To Move,3.0,2.0,130.0,Anandnagar,3,1750.0,7428.571428571428
Super built-up  Area,18-Mar,2.0,2.0,226.5,Anandnagar,3,2661.0,8511.83765501691
Super built-up  Area,18-Dec,2.0,1.0,58.0,Anandnagar,2,1045.0,5550.239234449761
Super built-up  Area,Ready To Move,1.0,1.0,52.5,Anandnagar,1,750.0,7000.0
Super built-up  Area,21-Dec,3.0,1.0,85.73,Anandnagar,3,1732.0,4949.769053117783
Super built-up  Area,Ready To Move,3.0,3.0,119.0,Anandnagar,3,1910.0,6230.366492146597
Super built-up  Area,Ready To Move,2.0,1.0,24.0,Anandnagar,1,500.0,4800.0
Built-up  Area,Ready To Move,4.0,2.0,280.0,Anandnagar,4,3200.0,8750.0
Super built-up  Area,Ready To Move,2.0,2.0,60.0,Anandnagar,2,1020.0,5882.35294117647
Super built-up  Area,19-Dec,3.0,1.0,123.0,Anandnagar,3,1750.0,7028.571428571428
Built-up  Area,Ready To Move,2.0,1.0,165.0,Anandnagar,3,1725.0,9565.217391304348
Super built-up  Area,Ready To Move,1.0,2.0,32.0,Anandnagar,1,665.0,4812.0300751879695
Super built-up  Area,Ready To Move,4.0,3.0,250.0,Anandnagar,4,2400.0,10416.666666666666
Super built-up  Area,18-Dec,3.0,2.0,83.87,Anandnagar,3,1355.0,6189.667896678967
Plot  Area,Ready To Move,3.0,2.0,125.0,Anandnagar,4,1200.0,10416.666666666666
Super built-up  Area,Ready To Move,1.0,0.0,42.5,Anandnagar,1,645.0,6589.147286821705
Super built-up  Area,18-Jun,3.0,0.0,150.0,Anandnagar,3,1613.0,9299.442033477992
Super built-up  Area,18-Aug,2.0,1.0,100.0,Anandnagar,3,1280.0,7812.5
Super built-up  Area,Ready To Move,2.0,2.0,60.0,Anandnagar,2,1115.0,5381.165919282511
Super built-up  Area,18-Nov,1.0,1.0,18.0,Anandnagar,1,416.0,4326.923076923077
Built-up  Area,Ready To Move,3.0,1.0,88.0,Anandnagar,3,1491.0,5902.079141515761
Super built-up  Area,19-Mar,4.0,1.0,101.0,Anandnagar,3,1929.0,5235.873509590461
Built-up  Area,Ready To Move,3.0,2.0,90.0,Anandnagar,3,1770.0,5084.745762711865
Super built-up  Area,Ready To Move,4.0,2.0,115.0,Anandnagar,3,2025.0,5679.0123456790125
Super built-up  Area,18-Aug,3.0,3.0,105.0,Anandnagar,3,1397.0,7516.1059413027915
Built-up  Area,Ready To Move,3.0,0.0,110.0,Anandnagar,3,1738.0,6329.113924050633
Super built-up  Area,Ready To Move,4.0,2.0,275.0,Anandnagar,4,3400.0,8088.235294117647
Super built-up  Area,18-Jan,1.0,1.0,52.0,Anandnagar,1,702.0,7407.407407407408
Super built-up  Area,18-Jul,2.0,2.0,246.0,Anandnagar,4,2895.5,8495.941978932828
Super built-up  Area,Ready To Move,2.0,2.0,80.0,Anandnagar,2,1330.0,6015.037593984963
Plot  Area,Ready To Move,1.0,0.0,66.0,Anandnagar,2,1152.0,5729.166666666667
Super built-up  Area,Ready To Move,2.0,2.0,110.0,Anandnagar,2,1314.0,8371.38508371385
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Anandnagar,3,1100.0,6818.181818181818
Built-up  Area,Ready To Move,2.0,2.0,115.0,Anandnagar,3,1464.0,7855.191256830601
Built-up  Area,Ready To Move,2.0,0.0,70.0,Anandnagar,2,1000.0,7000.0
Super built-up  Area,Ready To Move,6.0,3.0,180.0,Anandnagar,7,3000.0,6000.0
Built-up  Area,Ready To Move,2.0,3.0,85.0,Anandnagar,3,1350.0,6296.2962962962965
Super built-up  Area,18-Jul,3.0,2.0,150.0,Anandnagar,3,1776.0,8445.945945945947
Super built-up  Area,Ready To Move,3.0,0.0,170.0,Anandnagar,3,2150.0,7906.976744186047
Built-up  Area,Ready To Move,3.0,2.0,74.0,Anandnagar,3,1400.0,5285.714285714285
Super built-up  Area,Ready To Move,1.0,1.0,10.0,Anandnagar,1,410.0,2439.0243902439024
Super built-up  Area,Ready To Move,2.0,0.0,72.76,Anandnagar,2,1335.0,5450.187265917603
Built-up  Area,Ready To Move,2.0,1.0,90.0,Anandnagar,2,1600.0,5625.0
Built-up  Area,18-Mar,4.0,2.0,130.0,Anandnagar,4,1917.0,6781.429316640584
Super built-up  Area,Ready To Move,3.0,1.0,95.0,Aundh,3,1521.0,6245.890861275477
Built-up  Area,Ready To Move,3.0,1.0,90.0,Aundh,3,1200.0,7500.0
Super built-up  Area,Ready To Move,2.0,2.0,98.0,Aundh,2,1327.0,7385.079125847777
Built-up  Area,Ready To Move,2.0,0.0,134.0,Aundh,3,1580.0,8481.012658227848
Super built-up  Area,Ready To Move,2.0,2.0,115.0,Aundh,2,1355.0,8487.084870848708
Built-up  Area,Ready To Move,2.0,2.0,57.0,Aundh,2,1170.0,4871.794871794872
Super built-up  Area,Ready To Move,2.0,3.0,105.0,Aundh,3,1464.0,7172.131147540984
Plot  Area,Ready To Move,4.0,3.0,120.0,Aundh,4,1200.0,10000.0
Built-up  Area,Ready To Move,2.0,2.0,75.0,Aundh,2,1180.0,6355.932203389831
Built-up  Area,Ready To Move,4.0,2.0,127.0,Aundh,3,2195.0,5785.876993166287
Super built-up  Area,Ready To Move,3.0,2.0,380.0,Aundh,3,3522.0,10789.324247586599
Built-up  Area,18-Dec,2.0,1.0,71.0,Aundh,2,1192.0,5956.375838926175
Super built-up  Area,Ready To Move,4.0,1.0,270.0,Aundh,3,2700.0,10000.0
Super built-up  Area,18-Dec,4.0,3.0,191.0,Aundh,4,2690.0,7100.371747211896
Super built-up  Area,Ready To Move,2.0,2.0,70.0,Aundh,3,1270.0,5511.811023622047
Super built-up  Area,22-Jun,3.0,3.0,145.0,Aundh,3,1837.0,7893.304300489929
Super built-up  Area,18-Jul,3.0,3.0,110.0,Aundh,3,1875.0,5866.666666666667
Super built-up  Area,22-May,2.0,2.0,260.5,Aundh,4,3181.0,8189.248663942157
